# compatible with norbert
# include german mainland, exclude german isles, international (some isles still included, but this is the data we have voronoi coverage for...)
#id	lon_korr	lat_korr	alt	area	name
14108	7.7300	53.4800	8	0.0189809	FRIEDEBURG-WIESEDERMEER 
14109	7.4800	53.2200	7	0.0332299	LEER 
14110	7.5800	53.2000	1	0.0323073	OSTRHAUDERFEHN-POTSHAUSEN 
14111	7.8000	53.1700	2	0.0284730	BARSSEL-LOHER OST 
14112	7.1012	52.8380	12	0.0150993	HAREN-RUETENBROCK 
14113	7.2700	52.9500	6	0.0286712	DERSUM 
14114	7.6200	52.9500	14	0.0228056	BREDDENBERG 
14115	7.9000	52.9300	26	0.0438736	FRIESOYTHE-AUGUSTENDORF 
14116	6.8500	52.6200	14	0.0152461	EMLICHHEIM 
14117	7.1200	52.6300	21	0.0385206	TWIST 
14118	7.3000	52.5200	22	0.0507512	LINGEN (WST) 
14119	7.5200	52.6800	17	0.0342325	HASELUENNE 
14120	7.8800	52.5500	62	0.0232274	ANKUM 
14121	6.9000	52.5000	40	0.0268903	UELSEN 
14122	7.1700	52.3000	45	0.0384218	BENTHEIM,BAD 
14123	7.4200	52.3700	36	0.0464752	EMSBUEREN-VENHAUS 
14124	7.5800	52.2800	45	0.0348123	HOERSTEL 
14125	7.9700	52.4000	58	0.0229634	BRAMSCHE 
14126	7.0200	52.0800	52	0.0291727	AHAUS 
14127	7.9800	52.6300	30	0.0164932	BADBERGEN 
14128	7.7500	52.6200	38	0.0278608	BERGE/NDS. 
14129	7.9500	52.5500	35	0.0126001	BERSENBRUECK 
14130	7.2700	53.3500	0	0.0495073	EMDEN-WIDDELSWEHR 
14131	7.8700	53.0200	8	0.0142102	FRIESOYTHE 
14132	7.0300	52.2000	40	0.0272277	GRONAU 
14133	7.5000	52.7700	35	0.0152647	GROSS BERSSEN 
14134	7.3500	53.6000	4	0.0225919	GROSSHEIDE 
14135	7.6500	52.7500	32	0.0198979	HERSSUM 
14137	6.7500	52.6200	11	0.0161398	LAAR,KR.GRAFSCH.BENTHEIM 
14138	7.7200	52.1500	51	0.0282868	LADBERGEN-OVERBECK 
14139	7.3500	52.8500	15	0.0372853	LATHEN 
14140	7.9000	52.6800	23	0.0308960	MENSLAGE-BORG 
14141	7.2200	53.6000	2	0.0220189	NORDEN 
14142	7.6800	53.1000	5	0.0192793	SATERLAND-RAMSLOH 
14143	7.7500	53.0500	7	0.0178540	SATERLAND-SEDELSBERG 
14144	7.2500	52.1000	100	0.0295927	SCHOEPPINGEN 
14145	7.7300	53.4300	11	0.0370605	WIESMOOR 
14146	7.9500	53.6300	2	0.0141010	WANGERLAND-OLDORF.SIETW. 
14147	7.9669	53.7054	2	0.0069845	WANGERLAND-MINSEN 
14148	7.8200	53.7000	1	0.0110295	WITTMUND-HARLESIEL 
14149	7.7500	53.6000	2	0.0184186	WITTMUND-BLERSUM 
14150	7.3500	52.1200	64	0.0325980	STEINFURT-BURGSTEINFURT 
14151	7.6300	52.5000	40	0.0478141	SETTRUP 
14152	7.8700	52.2800	92	0.0380557	WESTERKAPPELN 
14153	7.6700	52.8300	35	0.0249327	WERLTE-WEHM 
14154	7.5200	52.8300	33	0.0156664	SOEGEL 
14155	7.0800	52.7500	19	0.0122145	TWIST-HEBELERMEER 
14156	7.4700	52.9800	10	0.0311842	SURWOLD 
14157	7.3200	53.1200	1	0.0401679	WEENER-DIELE 
14158	7.9300	53.2500	7	0.0313965	WESTERSTEDE 
14159	7.9800	53.2000	9	0.0151695	ZWISCHENAHN,BAD 
15001	9.6900	52.4700	55	0.0391123	HANNOVER 
15002	9.8900	52.1500	117	0.0256262	HILDESHEIM 
15003	9.6900	53.5300	1	0.0274339	JORK 
15004	9.8300	53.0000	77	0.0300494	SOLTAU 
15005	8.1000	53.6000	1	0.0249423	WILHAVEN 
15006	8.5900	53.5300	7	0.0176232	BREMERHAVEN 
15007	9.0100	53.9600	2	0.0286227	HELSE 
15008	8.7000	53.8600	5	0.0076883	CUXHAVN 
15009	9.4300	53.8000	2	0.0236351	GLUECKSTADT 
15010	8.9100	53.2900	6	0.0105450	TEUMOOR 
15011	9.4100	53.1000	24	0.0277121	ROTENBURG 
15012	8.0500	52.2500	95	0.0097792	OSNABRUECK 
15013	8.3500	52.5900	39	0.0328212	DIEPHOLZ 
15014	8.7500	52.1000	135	0.0134339	BAD SALZUFLEN 
15015	8.6800	52.1300	77	0.0130836	HERFORD 
15016	8.5700	52.4500	42	0.0193162	RANDEN 
15017	9.2200	52.6300	26	0.0265911	NIENBURG 
15018	9.3400	52.1200	66	0.0279048	HAMELN 
15101	9.8300	53.2500	63	0.0147162	HANDELOH 
15102	9.9000	53.3800	80	0.0167796	NENNDORF 
15103	9.9500	53.3000	28	0.0181268	JESTEBURG 
15104	9.9700	53.1700	116	0.0131848	BISPINGEN-WILSEDE 
15105	9.8500	53.4000	125	0.0164494	ROSENGARTEN,KR.HARBURG 
15106	9.7200	53.2800	58	0.0246055	TOSTEDT 
15107	9.7000	53.4200	32	0.0148666	MOISBURG 
15108	9.6000	53.3800	39	0.0248167	SAUENSIEK 
15109	9.5000	53.4500	32	0.0348920	HARSEFELD 
15110	9.4200	52.0200	80	0.0311067	EMMERTHAL-GROHNDE 
15111	8.7700	53.8300	2	0.0125291	CUXHAVEN-ALTENBRUCH 
15112	9.1500	53.9200	2	0.0333232	BRUNSBUETTEL 
15113	9.2300	52.0300	115	0.0212024	AERZEN-REHER 
15114	9.6200	53.7800	3	0.0747178	HORST,KR.STEINBURG 
15115	9.9500	53.9300	15	0.0601232	BRAMSTEDT,BAD-BINOEHLEN 
15116	9.7200	52.0800	90	0.0159052	EIME 
15117	8.5800	53.5300	6	0.0194203	BREMERHAVEN (WST) 
15118	8.8300	53.6300	27	0.0223448	BEDERKESA 
15119	9.1500	53.7000	5	0.0365692	HEMMOOR 
15120	9.4000	53.7200	1	0.0406748	DROCHTERSEN 
15121	9.7300	53.5200	1	0.0177631	JORK-MOORENDE 
15122	9.9000	53.5800	44	0.0371745	HAMBURG-ALTONA 
15123	8.1300	53.3800	7	0.0353564	VAREL 
15124	8.2500	53.2800	0	0.0211225	DELFSHAUSEN 
15125	8.6300	53.3800	237	0.0265072	BRAMSTEDT-HAGEN 
15126	8.9500	53.4300	27	0.0277488	BASDAHL-VOLKMARST 
15127	9.3500	53.4300	25	0.0218443	REITH 
15128	8.1300	53.0500	13	0.0426614	BENTHULLEN 
15129	8.3200	53.1800	1	0.0168563	ELSFLETH-MOORHAUSEN 
15130	8.5300	53.1500	2	0.0263506	BERNE-KATJENBUETTEL 
15131	8.8000	53.1200	3	0.0119274	BREMEN (BAYERNSTR.) 
15132	9.0500	53.0200	28	0.0311264	ACHIM 
15133	9.6000	53.1000	42	0.0450959	HEMSLINGEN 
15134	8.2500	52.7800	42	0.0328197	LANGFOERDEN 
15135	8.7000	52.7700	49	0.0557502	EHRENBURG-STOCKSDORF 
15136	8.9700	52.8300	24	0.0258011	BRUCHHAUSEN VILSEN 
15137	9.0000	52.8800	12	0.0217741	SCHWARME 
15138	9.3700	53.0000	61	0.0339803	BOTHEL-SUEDERWALSEDE 
15139	9.5500	52.7700	23	0.0222185	AHLDEN 
15140	9.7800	52.9200	51	0.0355985	FALLINGBOSTEL-DORFMARK 
15141	8.1800	52.5300	100	0.0228676	DAMME/NDS. 
15142	8.8000	52.2000	70	0.0134163	OEYNHAUSEN,BAD 
15143	8.5800	52.5500	38	0.0329419	WAGENFELD 
15144	8.8300	52.6000	40	0.0335585	KIRCHDORF,KR.DIEPHOLZ 
15145	9.2200	52.5500	33	0.0174663	BROKELOH 
15146	9.3800	52.7200	25	0.0450322	LICHTENHORST 
15147	9.5700	52.6000	33	0.0235306	MANDELSLOH 
15148	9.8500	52.5700	40	0.0360159	BURGWEDEL-FUHRBERG 
15149	8.2300	52.2800	110	0.0238774	BISSENDORF-SCHLEDEHAUSEN 
15150	8.6200	52.3200	55	0.0269643	LUEBBECKE 
15151	8.8500	52.4200	50	0.0239271	KLEINENDORF 
15152	9.1200	52.4800	36	0.0151409	PETERSHAGEN-WASSERSTRASSE 
15153	9.4700	52.3000	114	0.0114788	BARSINGHAUSEN 
15154	9.5200	52.3500	68	0.0232456	BARSINGHAUSEN-STEMMEN 
15155	9.8200	52.2800	63	0.0289264	LAATZEN-RETHEN 
15156	8.0700	52.2000	133	0.0092103	GEORGSMARIENHUETTE 
15157	8.4000	52.2000	87	0.0190755	MELLE 
15158	8.5200	52.1500	118	0.0154896	ENGER 
15159	9.8200	52.0000	90	0.0180856	ALFELD/LEINE 
15160	8.8300	53.1000	2	0.0144961	BREMEN (BUERGERPARK) 
15161	8.8000	53.0500	5	0.0263643	BREMEN (FLUGWEWA) 
15162	8.5200	53.2200	4	0.0221103	BREMEN-FARGE 
15163	9.8800	52.5200	53	0.0349951	BURGWEDEL-KLEINBURGWEDEL 
15164	8.3700	53.5800	1	0.0396652	BUTJADINGEN-BURHAVE 
15165	8.6700	53.0500	8	0.0363803	DELMENHORST 
15166	8.1200	52.6800	25	0.0360046	DINKLAGE 
15167	9.7000	52.0000	205	0.0248789	DUINGEN-CAPELLENHAGEN 
15168	9.4000	53.2500	30	0.0305580	ELSDORF-HATZTE 
15169	8.3700	52.3200	52	0.0216504	ESSEN,BAD 
15170	9.6800	52.8500	70	0.0259676	FALLINGBOSTEL, BAD 
15171	9.0800	53.2700	22	0.0243293	HEPSTEDT 
15172	8.6300	52.1700	90	0.0145792	HIDDENHAUSEN-EILSHAUSEN 
15173	8.3500	53.1500	1	0.0148238	HUDE/OL.-OBERHAUSEN 
15174	8.0500	52.1500	115	0.0185580	IBURG,BAD 
15175	8.3500	53.0300	25	0.0320938	KIRCHHATTEN 
15176	8.8700	53.5300	8	0.0220074	KOEHLEN 
15177	9.2800	53.5200	14	0.0336666	KUTENHOLZ-MULSUM 
15178	9.1000	53.6300	27	0.0353242	LAMSTEDT 
15179	8.6300	53.7000	13	0.0287807	LANGEN-HOLSSEL,KR.CUXH. 
15180	9.4000	52.2800	140	0.0281335	LAUENAU-FEGGENDORF 
15181	8.3800	52.4700	46	0.0272570	LEMFOERDE 
15182	8.8300	52.3000	46	0.0246294	MINDEN-HAHLEN 
15183	8.1000	52.4800	42	0.0178500	NEUENKIRCHEN/OL.-VOERDEN 
15184	9.4500	52.5000	40	0.0210152	NEUSTADT AM RUEBENBERGE 
15185	8.6300	53.7800	16	0.0161436	NORDHOLZ 
15186	9.7800	52.1500	83	0.0170045	NORDSTEMMEN-BURGSTEMMEN 
15187	8.0500	52.3000	67	0.0137110	OSNABRUECK-HASTE 
15188	8.1700	52.3800	61	0.0201314	OSTERCAPPELN-VENNE 
15189	8.8200	53.2300	15	0.0247791	OSTERHOLZ-SCHARMBECK 
15190	8.9000	53.8000	1	0.0194423	OTTERNDORF 
15191	9.1500	53.1300	17	0.0299135	OTTERSBERG-OTTERSTEDT 
15192	8.4500	53.3800	3	0.0306237	OVELGOENNE 
15193	9.0200	52.3800	43	0.0311233	PETERSHAGEN 
15194	8.6300	52.5000	40	0.0213748	RAHDEN-PREUSS.STROEHEN 
15195	8.2200	53.2500	3	0.0141077	RASTEDE 
15196	9.2200	52.4300	75	0.0310513	REHBURG,BAD 
15197	9.1200	52.2000	84	0.0534763	RINTELN-STEINBERGEN 
15198	8.4800	52.2500	142	0.0169949	ROEDINGHAUSEN 
15199	8.1700	52.1000	87	0.0270168	ROTHENFELDE,BAD 
15200	8.5200	53.3500	1	0.0143754	SANDSTEDT 
15201	9.8500	52.2500	61	0.0230975	SARSTEDT 
15202	9.8200	53.1500	67	0.0229388	SCHNEVERDINGEN 
15203	9.2800	53.2800	17	0.0229109	ZEVEN 
15204	9.2200	53.3700	22	0.0270449	SELSINGEN 
15205	8.8800	53.7000	1	0.0205399	STEINAU,KR.CUXHAVEN 
15206	9.3200	53.9800	0	0.0150442	VAALERMOOR 
15207	9.3800	53.9200	0	0.0252394	WILSTER 
15208	8.8500	52.1500	101	0.0305317	VLOTHO-VALDORF 
15209	8.4200	52.0700	134	0.0161282	WERTHER 
15210	8.9800	52.6700	45	0.0239625	SIEDENBURG-BORSTEL 
15211	8.9200	52.5000	45	0.0195066	UCHTE 
15212	9.0800	52.5700	27	0.0192063	WELLIE 
15213	9.0700	52.7700	25	0.0299504	WARPE-HELZENDORF 
15214	9.9200	52.0500	188	0.0227147	SIBBESSE 
15215	9.5700	52.2000	100	0.0373979	SPRINGE 
15216	9.4300	52.4700	57	0.0193745	WUNSTORF (BW) 
15217	9.6000	52.6800	26	0.0242799	SCHWARMSTEDT 
15218	9.6000	52.8700	41	0.0263115	WALSRODE 
15219	9.2300	52.9700	21	0.0389147	VERDEN-DAUELSEN 
15220	8.9700	53.2300	8	0.0197719	WORPSWEDE-SCHLUSSDORF 
15221	8.9500	53.3300	5	0.0116347	VOLLERSODE-GIEHLERMOOR 
15222	8.5000	52.8700	37	0.0393078	WINKELSETT-RECKUM 
15223	8.4300	52.9000	33	0.0249319	WILDESHAUSEN 
15224	8.1000	53.1700	8	0.0208870	ZWISCHENAHN,BAD-WESTERH. 
15225	8.7800	53.4200	7	0.0280152	STUBBEN 
15226	8.3000	52.7500	41	0.0249884	VECHTA 
16001	10.6900	53.4000	45	0.0193308	BOIZENBURG 
16002	11.4000	52.5200	47	0.0469486	GARDELEGEN 
16003	10.6900	53.5700	27	0.0346115	GRAMBEK 
16004	10.1400	53.5900	19	0.0214921	HAMBURG/W 
16005	10.0000	53.6300	13	0.0292395	HAMBURG 
16006	11.0200	52.2200	140	0.0340073	HELMSTEDT 
16007	11.1400	52.9700	17	0.0337393	LUECHOW 
16008	10.4300	53.2600	11	0.0232728	LUENEBURG 
16009	11.5800	52.1200	79	0.0581511	MAGDEBURG 
16010	11.9300	53.3200	85	0.0400553	MARNITZ 
16011	11.7300	52.9000	21	0.0695013	SEEHAUSEN 
16012	11.3800	53.6500	59	0.0584461	SCHWERIN 
16013	10.8683	53.9620	9	0.0534848	TRAVEMUENDE 
16014	10.5400	52.9500	49	0.0263970	UELZEN 
16015	10.2900	52.8500	98	0.0226199	UNTERLUS. 
16016	11.2068	53.9861	15	0.0200222	BOLTENHAGEN 
16101	11.0000	52.0300	90	0.0279564	ADERSTEDT 
16102	11.2300	52.0200	80	0.0662993	OSCHERSLEBEN/BODE 
16103	10.7700	52.0700	92	0.0249212	WINNIGSTEDT 
16104	10.9200	52.0800	107	0.0234603	JERXHEIM 
16105	11.9300	52.0800	88	0.0678797	LADEBURG 
16106	10.8800	52.5300	64	0.0364465	PARSAU 
16107	11.3000	52.4000	62	0.0705953	CALVOERDE 
16108	11.6200	52.4200	65	0.1002599	DOLLE 
16109	11.9800	52.8700	24	0.0622976	WERBEN/ELBE 
16110	11.6800	52.2300	43	0.0637493	GLINDENBERG 
16111	11.9700	53.2000	60	0.0413175	GUELITZ 
16112	11.5700	52.7700	30	0.0579897	GLADIGAU 
16113	11.3800	52.7200	45	0.0324051	GUESSEFELD 
16114	11.3700	53.0500	23	0.0383324	GORLEBEN 
16115	11.7500	53.1700	34	0.0569736	KARSTAEDT/PRIGNITZ 
16116	10.9000	52.8800	40	0.0206948	SCHNEGA 
16117	11.2700	52.9000	19	0.0346500	LEMGOW-HOHENKRUG 
16118	11.1200	53.1000	13	0.0350253	DANNENBERG/NDS. 
16119	11.0300	53.1500	28	0.0296626	HITZACKER 
16120	10.8500	53.2500	11	0.0203201	BLECKEDE-WALMSBURG 
16121	11.5700	53.2800	30	0.0477180	GRABOW 
16122	11.8300	53.4300	48	0.0540805	PARCHIM 
16123	10.5500	53.4300	27	0.0119643	LUETAU 
16124	10.5500	53.3800	35	0.0096418	LAUENBURG/ELBE 
16125	10.3300	53.4300	7	0.0124822	GEESTHACHT 
16126	10.3500	53.4200	4	0.0116904	MARSCHACHT-ND.MARSCHACHT 
16127	10.6800	52.8300	64	0.0384934	BODENTEICH, BAD 
16128	10.6000	52.9200	50	0.0195615	WRESTEDT-STEDERDORF 
16129	10.7800	52.9800	60	0.0253718	TEYENDORF 
16130	10.6200	53.1500	61	0.0285150	ALTENMEDINGEN-EDDELSTORF 
16131	10.4000	53.1000	85	0.0345287	HANSTEDT,KR.UELZ.-VELGE 
16132	10.9800	52.6500	65	0.0344696	MELLIN 
16133	10.7800	53.1000	74	0.0269437	HOHENFIER 
16134	11.1500	52.6200	70	0.0575885	KLOETZE/ALTMARK 
16135	10.5800	53.2500	50	0.0189747	REINSTORF-HOLZEN 
16136	10.7300	53.3000	8	0.0208222	BLECKEDE 
16137	10.9200	52.8000	46	0.0355783	DAEHRE 
16138	10.4800	53.3800	6	0.0122498	ARTLENBURG 
16139	11.5000	52.8800	28	0.0318799	ARENDSEE/ALTMARK 
16140	10.2700	53.3000	11	0.0189170	RADBRUCH 
16141	10.0300	53.1000	63	0.0210769	BISPINGEN-HUETZEL 
16142	11.3800	52.8000	35	0.0195548	FLEETMARK 
16143	10.1700	53.2200	42	0.0264919	SALZHAUSEN,KR.HARBURG 
16144	10.1500	53.3000	22	0.0134697	WULFSEN 
16145	10.2000	53.3500	8	0.0090988	WINSEN/LUHE 
16146	11.3500	53.3500	55	0.0448680	PICHER 
16147	10.9300	53.2800	10	0.0316607	NEUHAUS/ELBE 
16148	10.0200	53.2000	57	0.0127875	EGESTORF-SAHRENDORF 
16149	11.1800	53.4300	30	0.0465280	HAGENOW 
16150	11.4500	53.4200	37	0.0428722	LUEBLOW 
16151	10.4800	53.5000	40	0.0189665	SCHWARZENBEK 
16152	10.1500	53.4200	2	0.0217545	HAMBURG-KIRCHWERDER 
16153	10.8300	53.4700	52	0.0268581	GREVEN-GRANZIN 
16154	11.0800	53.5000	42	0.0327678	WITTENBURG 
16155	10.0700	53.9000	32	0.0437876	HARTENHOLM 
16156	10.4000	53.8200	15	0.0249856	OLDESLOE,BAD 
16157	10.9300	53.8500	10	0.0364631	SCHOENBERG 
16158	10.2000	52.1000	103	0.0365321	BADDECKENSTEDT-WARTJENS. 
16159	11.4300	54.0000	12	0.0259703	KIRCHDORF/POEL 
16160	11.5000	53.7800	45	0.0460288	HOHEN VIECHELN 
16161	11.8800	53.9000	48	0.0570285	BERNITT 
16162	10.0300	53.5800	8	0.0173970	HAMBURG (STADTPARK) 
16163	10.2500	53.7300	45	0.0409807	BARGTEHEIDE 
16164	10.7200	52.2000	170	0.0144221	ERKERODE 
16165	10.9200	53.6700	42	0.0333348	KITTLITZ 
16166	11.0700	53.6800	35	0.0365700	GADEBUSCH 
16167	10.3000	52.1300	153	0.0186065	SALZGITTER-LICHTENBERG 
16168	11.7000	53.6000	42	0.0681949	BARNIN 
16169	11.9800	53.7500	65	0.0459767	BOITIN 
16170	10.0800	52.9800	83	0.0313538	MUNSTER 
16171	10.3200	52.9700	59	0.0324930	EIMKE 
16172	10.0300	52.6300	38	0.0312423	CELLE 
16173	10.4300	52.6500	73	0.0180652	GROSS OESINGEN 
16174	10.5800	52.6300	63	0.0494641	WAHRENHOLZ 
16175	10.1800	52.3800	61	0.0516009	ABBENSEN 
16176	10.3500	52.3800	63	0.0375267	EDEMISSEN-WIPSHAUSEN 
16177	10.5700	52.2800	83	0.0395522	BRAUNSCHWEIG-GLIESMARODE 
16178	10.9200	52.4300	72	0.0315750	DANNDORF 
16179	11.0500	52.3200	90	0.0404611	WEFERLINGEN 
16180	10.0500	52.7000	47	0.0366385	CELLE-HUSTEDT 
16181	10.2300	52.7300	76	0.0226484	ESCHEDE 
16182	11.1700	53.8300	25	0.0445282	GREVESMUEHLEN 
16183	10.3700	52.6000	55	0.0240372	HOHNE 
16184	10.8200	52.2500	138	0.0246205	KOENIGSLUTTER 
16185	10.2500	52.6300	48	0.0213286	LACHENDORF 
16186	11.4800	53.1000	20	0.0419345	LENZEN (ELBE) 
16187	11.6000	53.9500	28	0.0217594	NEUBURG-STEINHAUSEN 
16188	11.6800	53.8700	35	0.0362743	NEUKLOSTER 
16189	10.5800	53.6700	35	0.0428120	NUSSE 
16190	10.1300	52.9000	62	0.0284678	POITZEN 
16191	10.2300	53.5200	35	0.0210786	REINBEK 
16192	10.4300	52.0700	110	0.0212486	SALZGITTER-OHLENDORF 
16193	10.5300	52.0300	117	0.0139400	SCHLADEN 
16194	10.7800	52.2000	290	0.0096605	SCHOEPPENSTEDT-GR.RODE 
16195	10.4300	53.9200	40	0.0337593	SOEHREN 
16196	10.4800	53.7200	56	0.0221553	STEINHORST 
16197	10.9700	53.0000	52	0.0278616	WADDEWEITZ 
16198	10.4200	53.6200	28	0.0248741	TRITTAU 
16199	10.9200	53.5500	48	0.0234459	ZARRENTIN 
16200	10.7000	52.4200	70	0.0450787	WOLFSBURG-SUELFELD 
16201	10.6500	52.1300	135	0.0210907	WITTMAR 
16202	10.4500	52.7700	110	0.0302290	SPRAKENSEHL-HAGEN 
16203	10.3700	52.2200	82	0.0275779	VECHELDE-VALLSTEDT 
16204	10.2300	52.4700	51	0.0253320	UETZE 
17001	13.3000	52.4700	51	0.0329210	BERLIN/DAHLEM 
17002	13.4000	52.4600	48	0.0384047	BERLIN/TEMPELHOF 
17003	13.5300	52.3800	46	0.0637202	BERLIN/SCHOENEFELD 
17004	12.1000	53.6000	58	0.0442299	GOLDBERG 
17005	13.0400	53.1500	62	0.0495977	NEUGLOBSOW 
17006	12.8200	52.9000	38	0.0503782	NEURUPPIN 
17007	13.0700	52.3800	81	0.0794267	POTSDAM 
17008	12.6100	53.7600	46	0.0346641	TETEROW 
